Project_ID;Organization;Short_project_description;Year_technical_go_live;Organisation_profile;Business_domain;Development_method;Primary_programming_language;Development_class;Functional_size_FP;Actual_duration_months;Actual_cost_EUR;Actual_effort_hours;Defects_process;Defects_first_month;Stakeholder_satisfaction_process;Stakeholder Satisfaction - Product;Perceived_value_overall;Release_based_working;Once_only_project;Multi_application_release;Phased_project;Dependencies_with_other_applications;Single_application;Migration_project;Problems_with_external_supplier;Security_related_project;Package_of_the_shelf;Package_with_customization;Steady_heartbeat;Fixed_experienced_team;Many_team_changes_unexperienced_team;Legacy_application;Technology_driven_project;Rules_and_regulations_driven_project;Business_driven_project;Pilot_or_proof_of_concept
215;Bank A;"Implementation of a large new mortgage system; package solution with APL-Bive customization; phased project; part of a large program; Mortgage System xxx Mid-Office / XMO - Plateau 1";2011;Banking;Mortgages;Scrum;JAVA;New Development;4600;22,50;5.637.000;2.404;1.586;;;;;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1
465;Beltel;"Maintenance project on an existing CRM application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Clean-up BASE range 483-9 (TechM)";2016;Telecommunications;Client and Account Management;Scrum;;Minor Enhancement (5-25% new);4;7,53;12.479;132;;;;;;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
350;Beltel;"Maintenance and enhancements project on an existing Billing application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Commissioning 2.0";2014;Telecommunications;Billing;Plan-driven;;New Development;71;7,43;74.199;1.053;;;;;;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
466;Beltel;"Deployment project on an existing CRM application (removal); fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Deploy HAWK monitoring";2016;Telecommunications;Client and Account Management;Scrum;;Minor Enhancement (5-25% new);16;4,73;10.290;2.910;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
407;Beltel;"Maintenance and enhancements project on an existing CRM/data warehouse application (Divine); fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Divine Archival Solution - Data Warehouse Part";2015;Telecommunications;Data Warehouse & BI;Plan-driven;;Minor Enhancement (5-25% new);22;7,46;20.391;13.758;;;;;;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
328;Beltel;"Maintenance and enhancements project on an existing CRM application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Business Friends & Family";2011;Telecommunications;Client and Account Management;Plan-driven;JAVA;Major Enhancement (25-75% new);26;14,69;59.990;16.000;;;;;;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
61;Bank B;Realisation EDV enhancements;2009;Banking;Savings & Loans;Plan-driven;.NET;New Development;54;2,84;349.750;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;Bank B;Control 2011;2011;Banking;Organization;Plan-driven;.NET;New Development;427;6,85;1.543.044;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
131;Bank A;"Profit Account; new functionality and enhancements in internet functionality related to customers accounts";2008;Banking;Internet & Mobile;Plan-driven;.NET;New Development;10;2,96;30.900;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
145;Bank A;Maintenance and new functionality release on one call-center application;2010;Banking;Call Center Solutions;Plan-driven;.NET;New Development;121;9,58;1.131.732;;;;;;;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
